value,sample
-0.3,1
-0.69,2
-0.33,3
1.66,4
-1.44,5
-2.58,6
0.69,7
0.07,8
2.21,9
0.44,10
-0.52,11
-0.55,12
1.04,13
-0.44,14
0.19,15
-1.28,1
-1.69,2
-0.37,3
-1.61,4
-0.85,5
1.45,6
0.32,7
0.83,8
1.44,9
0.62,10
0.85,11
0.85,12
0.14,13
-1.37,14
0.54,15
0.24,1
-1.85,2
1.34,3
0.54,4
-1.52,5
-1.28,6
-0.94,7
0.86,8
1.3,9
0.21,10
0.51,11
0.8,12
1.14,13
1.99,14
-0.25,15
1.28,1
-0.98,2
-0.09,3
0.9,4
-0.36,5
-0.65,6
-0.24,7
-0.64,8
0.11,9
-1.03,10
-0.61,11
0.46,12
-0.15,13
-0.57,14
-1.22,15
1.2,1
-0.77,2
-0.19,3
1.92,4
-0.03,5
0.76,6
0.13,7
-0.92,8
0,9
1.24,10
1.3,11
0.69,12
-0.78,13
0.09,14
1.27,15
1.73,1
-2.12,2
-0.51,3
-0.08,4
0.03,5
0.47,6
0.56,7
1.11,8
0.45,9
-0.31,10
-1.76,11
1.63,12
1.08,13
-0.23,14
-0.29,15
-2.18,1
-0.57,2
1.97,3
-0.52,4
-0.32,5
0.87,6
0.14,7
-1.2,8
-0.03,9
-0.84,10
0.55,11
0.3,12
-0.58,13
2.84,14
-1.31,15
-0.23,1
-0.4,2
0.87,3
0.68,4
2.19,5
0.6,6
-0.91,7
-1.56,8
-1.05,9
-0.82,10
-0.12,11
0.59,12
0.53,13
1.25,14
0.76,15
1.1,1
0.13,2
2.38,3
-0.38,4
-1.74,5
-1.37,6
1.88,7
0.71,8
-1.77,9
-0.43,10
0.04,11
1.85,12
0.55,13
0.88,14
0.78,15
-1.09,1
-0.37,2
-0.65,3
0.76,4
-0.74,5
-1.12,6
0.49,7
0.64,8
0.83,9
-0.45,10
-0.65,11
-0.34,12
-0.32,13
1.33,14
0.43,15
